BFS_NR_GEMEINDE,GEMEINDE_NAME,Jahr,Gemeindesteuerfuss,
4751,Rickenbach,2005,50, 
4431,Roggwil,2005,60, 
4436,Romanshorn,2005,78, 
4851,Salenstein,2005,49, 
4441,Salmsach,2005,80, 
4546,Schlatt,2005,60, 
4756,Sch�nholzerswilen,2005,70, 
4761,Sirnach,2005,53, 
4446,Sommeri,2005,79, 
4864,Steckborn,2005,74, 
4606,Stettfurt,2005,57, 
4506,Sulgen,2005,60, 
4611,Thundorf,2005,75, 
4776,Tobel-T�gerschen,2005,60, 
4696,T�gerwilen,2005,47, 
4616,Uesslingen-Buch,2005,70, 
4451,Uttwil,2005,70, 
4871,Wagenhausen,2005,57, 
4621,Warth-Weiningen,2005,52, 
4946,Weinfelden,2005,75, 
4951,Wigoltingen,2005,75, 
4786,Wilen,2005,58, 
4791,Wuppenau,2005,85, 
4701,W�ldi,2005,75, 
4781,W�ngi,2005,55, 
4511,Zihlschlacht-Sitterdorf,2005,75, 
4551,Aadorf,2006,60, 
4711,Affeltrangen,2006,59, 
4641,Altnau,2006,70, 
4881,Amlikon-Bissegg,2006,85, 
4461,Amriswil,2006,76, 
4401,Arbon,2006,80, 
4536,Basadingen-Schlattingen,2006,69, 
4891,Berg,2006,48, 
4801,Berlingen,2006,140, 
4716,Bettwiesen,2006,53, 
4721,Bichelsee-Balterswil,2006,47, 
4901,Birwinken,2006,90, 
4471,Bischofszell,2006,75, 
4643,Bottighofen,2006,39, 
4723,Braunau,2006,75, 
4921,Bussnang,2006,85, 
4911,B�rglen,2006,63, 
4545,Diessenhofen,2006,53, 
4406,Dozwil,2006,79, 
4411,Egnach,2006,65, 
4476,Erlen,2006,70, 
4646,Ermatingen,2006,50, 
4806,Eschenz,2006,75, 
4724,Eschlikon,2006,50, 
4561,Felben-Wellhausen,2006,60, 
4726,Fischingen,2006,87, 
4566,Frauenfeld,2006,68, 
4571,Gachnang,2006,48, 
4651,Gottlieben,2006,40, 
4656,G�ttingen,2006,65, 
4486,Hauptwil-Gottshaus,2006,85, 
4416,Hefenhofen,2006,76, 
4811,Herdern,2006,75, 
4495,Hohentannen,2006,85, 
4816,Homburg,2006,85, 
4421,Horn,2006,38, 
4590,H�ttlingen,2006,60, 
4821,H�ttwilen,2006,67, 
4666,Kemmental,2006,80, 
4426,Kesswil,2006,58, 
4501,Kradolf-Sch�nenberg,2006,68, 
4671,Kreuzlingen,2006,70, 
4681,Langrickenbach,2006,85, 
4683,Lengwil,2006,75, 
4741,Lommis,2006,73, 
4826,Mammern,2006,43, 
4591,Matzingen,2006,73, 
4941,M�rstetten,2006,63, 
4831,M�llheim,2006,72, 
4746,M�nchwilen,2006,57, 
4691,M�nsterlingen,2006,51, 
4601,Neunforn,2006,60, 
4841,Pfyn,2006,75, 
4846,Raperswilen,2006,90, 
4751,Rickenbach,2006,48, 
4431,Roggwil,2006,60, 
4436,Romanshorn,2006,78, 
4851,Salenstein,2006,49, 
4441,Salmsach,2006,153, 
4546,Schlatt,2006,60, 
4756,Sch�nholzerswilen,2006,70, 
4761,Sirnach,2006,52, 
4446,Sommeri,2006,79, 
4864,Steckborn,2006,74, 
4606,Stettfurt,2006,55, 
4506,Sulgen,2006,60, 
4611,Thundorf,2006,75, 
4776,Tobel-T�gerschen,2006,60, 
4696,T�gerwilen,2006,45, 
4616,Uesslingen-Buch,2006,70, 
4451,Uttwil,2006,70, 
4871,Wagenhausen,2006,57, 
4621,Warth-Weiningen,2006,49, 
4946,Weinfelden,2006,75, 
4951,Wigoltingen,2006,75, 
4786,Wilen,2006,58, 
4791,Wuppenau,2006,85, 
4701,W�ldi,2006,75, 
4781,W�ngi,2006,55, 
4511,Zihlschlacht-Sitterdorf,2006,75, 
4551,Aadorf,2007,60, 
4711,Affeltrangen,2007,56, 
4641,Altnau,2007,70, 
4881,Amlikon-Bissegg,2007,85, 
4461,Amriswil,2007,76, 
4401,Arbon,2007,80, 
4536,Basadingen-Schlattingen,2007,67, 
4891,Berg,2007,48, 
4801,Berlingen,2007,75, 
4716,Bettwiesen,2007,53, 
4721,Bichelsee-Balterswil,2007,47, 
4901,Birwinken,2007,85, 
4471,Bischofszell,2007,75, 
4643,Bottighofen,2007,39, 
4723,Braunau,2007,69, 
4921,Bussnang,2007,85, 
4911,B�rglen,2007,63, 
4545,Diessenhofen,2007,51, 
4406,Dozwil,2007,75, 
4411,Egnach,2007,65, 
4476,Erlen,2007,75, 
4646,Ermatingen,2007,50, 
4806,Eschenz,2007,65, 
4724,Eschlikon,2007,50, 
4561,Felben-Wellhausen,2007,60, 
4726,Fischingen,2007,85, 
4566,Frauenfeld,2007,68, 
4571,Gachnang,2007,48, 
4651,Gottlieben,2007,40, 
4656,G�ttingen,2007,65, 
4486,Hauptwil-Gottshaus,2007,85, 
4416,Hefenhofen,2007,76, 
4811,Herdern,2007,75, 
4495,Hohentannen,2007,85, 
4816,Homburg,2007,85, 
4421,Horn,2007,38, 
4590,H�ttlingen,2007,60, 
4821,H�ttwilen,2007,62, 
4666,Kemmental,2007,80, 
4426,Kesswil,2007,58, 
4501,Kradolf-Sch�nenberg,2007,68, 
4671,Kreuzlingen,2007,70, 
4681,Langrickenbach,2007,85, 
4683,Lengwil,2007,72, 
4741,Lommis,2007,68, 
4826,Mammern,2007,43, 
4591,Matzingen,2007,65, 
4941,M�rstetten,2007,63, 
4831,M�llheim,2007,75, 
4746,M�nchwilen,2007,57, 
4691,M�nsterlingen,2007,49, 
4601,Neunforn,2007,57, 
4841,Pfyn,2007,75, 
4846,Raperswilen,2007,80, 
4751,Rickenbach,2007,48, 
4431,Roggwil,2007,60, 
4436,Romanshorn,2007,78, 
4851,Salenstein,2007,49, 
4441,Salmsach,2007,80, 
4546,Schlatt,2007,60, 
4756,Sch�nholzerswilen,2007,70, 
4761,Sirnach,2007,51, 
4446,Sommeri,2007,79, 
4864,Steckborn,2007,74, 
4606,Stettfurt,2007,55, 
4506,Sulgen,2007,58, 
4611,Thundorf,2007,70, 
4776,Tobel-T�gerschen,2007,55, 
4696,T�gerwilen,2007,43, 
4616,Uesslingen-Buch,2007,70, 
4451,Uttwil,2007,65, 
4871,Wagenhausen,2007,54, 
4621,Warth-Weiningen,2007,44, 
4946,Weinfelden,2007,75, 
4951,Wigoltingen,2007,75, 
4786,Wilen,2007,58, 
4791,Wuppenau,2007,85, 
4701,W�ldi,2007,70, 
4781,W�ngi,2007,52, 
4511,Zihlschlacht-Sitterdorf,2007,75, 
4551,Aadorf,2008,53, 
4711,Affeltrangen,2008,51, 
4641,Altnau,2008,70, 
4881,Amlikon-Bissegg,2008,75, 
4461,Amriswil,2008,70, 
4401,Arbon,2008,78, 
4536,Basadingen-Schlattingen,2008,57, 
4891,Berg,2008,48, 
4801,Berlingen,2008,68, 
4716,Bettwiesen,2008,48, 
4721,Bichelsee-Balterswil,2008,44, 
4901,Birwinken,2008,85, 
4471,Bischofszell,2008,75, 
4643,Bottighofen,2008,39, 
4723,Braunau,2008,65, 
4921,Bussnang,2008,65, 
4911,B�rglen,2008,63, 
4545,Diessenhofen,2008,49, 
4406,Dozwil,2008,65, 
4411,Egnach,2008,65, 
4476,Erlen,2008,75, 
4646,Ermatingen,2008,45, 
4806,Eschenz,2008,65, 
4724,Eschlikon,2008,50, 
4561,Felben-Wellhausen,2008,60, 
4726,Fischingen,2008,80, 
4566,Frauenfeld,2008,68, 
4571,Gachnang,2008,45, 
4651,Gottlieben,2008,35, 
4656,G�ttingen,2008,60, 
4486,Hauptwil-Gottshaus,2008,82, 
4416,Hefenhofen,2008,69, 
4811,Herdern,2008,70, 
4495,Hohentannen,2008,85, 
4816,Homburg,2008,80, 
4421,Horn,2008,38, 
4590,H�ttlingen,2008,60, 
4821,H�ttwilen,2008,55, 
4666,Kemmental,2008,70, 
4426,Kesswil,2008,58, 
4501,Kradolf-Sch�nenberg,2008,63, 
4671,Kreuzlingen,2008,70, 
4681,Langrickenbach,2008,75, 
4683,Lengwil,2008,69, 
4741,Lommis,2008,65, 
4826,Mammern,2008,40, 
4591,Matzingen,2008,65, 
4941,M�rstetten,2008,63, 
4831,M�llheim,2008,67, 
4746,M�nchwilen,2008,57, 
4691,M�nsterlingen,2008,46, 
4601,Neunforn,2008,52, 
4841,Pfyn,2008,75, 
4846,Raperswilen,2008,75, 
4751,Rickenbach,2008,48, 
4431,Roggwil,2008,60, 
4436,Romanshorn,2008,76, 
4851,Salenstein,2008,46, 
4441,Salmsach,2008,80, 
4546,Schlatt,2008,57, 
4756,Sch�nholzerswilen,2008,60, 
4761,Sirnach,2008,50, 
4446,Sommeri,2008,71, 
4864,Steckborn,2008,69, 
4606,Stettfurt,2008,52, 
4506,Sulgen,2008,56, 
4611,Thundorf,2008,65, 
4776,Tobel-T�gerschen,2008,53, 
4696,T�gerwilen,2008,43, 
4616,Uesslingen-Buch,2008,65, 
4451,Uttwil,2008,60, 
4871,Wagenhausen,2008,54, 
4621,Warth-Weiningen,2008,41, 
4946,Weinfelden,2008,70, 
4951,Wigoltingen,2008,68, 
4786,Wilen,2008,54, 
4791,Wuppenau,2008,75, 
4701,W�ldi,2008,65, 
4781,W�ngi,2008,49, 
4511,Zihlschlacht-Sitterdorf,2008,70, 
4551,Aadorf,2009,53, 
4711,Affeltrangen,2009,51, 
4641,Altnau,2009,70, 
4881,Amlikon-Bissegg,2009,75, 
4461,Amriswil,2009,70, 
4401,Arbon,2009,76, 
4536,Basadingen-Schlattingen,2009,49, 
4891,Berg,2009,48, 
4801,Berlingen,2009,63, 
4716,Bettwiesen,2009,48, 
4721,Bichelsee-Balterswil,2009,44, 
4901,Birwinken,2009,80, 
4471,Bischofszell,2009,75, 
4643,Bottighofen,2009,39, 
4723,Braunau,2009,59, 
4921,Bussnang,2009,59, 
4911,B�rglen,2009,63, 
4545,Diessenhofen,2009,49, 
4406,Dozwil,2009,59, 
4411,Egnach,2009,62, 
4476,Erlen,2009,69, 
4646,Ermatingen,2009,45, 
4806,Eschenz,2009,65, 
4724,Eschlikon,2009,50, 
4561,Felben-Wellhausen,2009,60, 
4726,Fischingen,2009,80, 
4566,Frauenfeld,2009,66, 
4571,Gachnang,2009,45, 
4651,Gottlieben,2009,35, 
4656,G�ttingen,2009,60, 
4486,Hauptwil-Gottshaus,2009,79, 
4416,Hefenhofen,2009,69, 
4811,Herdern,2009,70, 
4495,Hohentannen,2009,79, 
4816,Homburg,2009,80, 
4421,Horn,2009,38, 
4590,H�ttlingen,2009,57, 
4821,H�ttwilen,2009,55, 
4666,Kemmental,2009,65, 
4426,Kesswil,2009,50, 
4501,Kradolf-Sch�nenberg,2009,63, 
4671,Kreuzlingen,2009,70, 
4681,Langrickenbach,2009,75, 
4683,Lengwil,2009,66, 
4741,Lommis,2009,65, 
4826,Mammern,2009,40, 
4591,Matzingen,2009,65, 
4941,M�rstetten,2009,63, 
4831,M�llheim,2009,63, 
4746,M�nchwilen,2009,57, 
4691,M�nsterlingen,2009,41, 
4601,Neunforn,2009,52, 
4841,Pfyn,2009,73, 
4846,Raperswilen,2009,75, 
4751,Rickenbach,2009,48, 
4431,Roggwil,2009,60, 
4436,Romanshorn,2009,76, 
4851,Salenstein,2009,46, 
4441,Salmsach,2009,76, 
4546,Schlatt,2009,55, 
4756,Sch�nholzerswilen,2009,60, 
4761,Sirnach,2009,48, 
4446,Sommeri,2009,69, 
4864,Steckborn,2009,69, 
4606,Stettfurt,2009,52, 
4506,Sulgen,2009,56, 
4611,Thundorf,2009,60, 
4776,Tobel-T�gerschen,2009,53, 
4696,T�gerwilen,2009,39, 
4616,Uesslingen-Buch,2009,65, 
4451,Uttwil,2009,60, 
4871,Wagenhausen,2009,54, 
4621,Warth-Weiningen,2009,39, 
4946,Weinfelden,2009,70, 
4951,Wigoltingen,2009,68, 
4786,Wilen,2009,50, 
4791,Wuppenau,2009,69, 
4701,W�ldi,2009,60, 
4781,W�ngi,2009,49, 
4511,Zihlschlacht-Sitterdorf,2009,55, 
4551,Aadorf,2010,51, 
4711,Affeltrangen,2010,46, 
4641,Altnau,2010,63, 
4881,Amlikon-Bissegg,2010,75, 
4461,Amriswil,2010,65, 
4401,Arbon,2010,76, 
4536,Basadingen-Schlattingen,2010,49, 
4891,Berg,2010,45, 
4801,Berlingen,2010,57, 
4716,Bettwiesen,2010,43, 
4721,Bichelsee-Balterswil,2010,44, 
4901,Birwinken,2010,78, 
4471,Bischofszell,2010,75, 
4643,Bottighofen,2010,39, 
4723,Braunau,2010,56, 
4921,Bussnang,2010,55, 
4911,B�rglen,2010,63, 
4545,Diessenhofen,2010,49, 
4406,Dozwil,2010,55, 
4411,Egnach,2010,60, 
4476,Erlen,2010,65, 
4646,Ermatingen,2010,40, 
4806,Eschenz,2010,65, 
4724,Eschlikon,2010,50, 
4561,Felben-Wellhausen,2010,60, 
4726,Fischingen,2010,75, 
4566,Frauenfeld,2010,66, 
4571,Gachnang,2010,45, 
4651,Gottlieben,2010,35, 
4656,G�ttingen,2010,60, 
4486,Hauptwil-Gottshaus,2010,72, 
4416,Hefenhofen,2010,69, 
4811,Herdern,2010,68, 
4495,Hohentannen,2010,79, 
4816,Homburg,2010,80, 
4421,Horn,2010,38, 
4590,H�ttlingen,2010,54, 
4821,H�ttwilen,2010,52, 
4666,Kemmental,2010,58, 
4426,Kesswil,2010,50, 
4501,Kradolf-Sch�nenberg,2010,60, 
4671,Kreuzlingen,2010,70, 
4681,Langrickenbach,2010,70, 
4683,Lengwil,2010,63, 
4741,Lommis,2010,55, 
4826,Mammern,2010,40, 
4591,Matzingen,2010,61, 
4941,M�rstetten,2010,63, 
4831,M�llheim,2010,60, 
4746,M�nchwilen,2010,57, 
4691,M�nsterlingen,2010,38, 
4601,Neunforn,2010,48, 
4841,Pfyn,2010,73, 
4846,Raperswilen,2010,75, 
4751,Rickenbach,2010,46, 
4431,Roggwil,2010,58, 
4436,Romanshorn,2010,76, 
4851,Salenstein,2010,46, 
4441,Salmsach,2010,76, 
4546,Schlatt,2010,55, 
4756,Sch�nholzerswilen,2010,60, 
4761,Sirnach,2010,48, 
4446,Sommeri,2010,64, 
4864,Steckborn,2010,69, 
4606,Stettfurt,2010,52, 
4506,Sulgen,2010,50, 
4611,Thundorf,2010,60, 
4776,Tobel-T�gerschen,2010,50, 
4696,T�gerwilen,2010,39, 
4616,Uesslingen-Buch,2010,60, 
4451,Uttwil,2010,55, 
4871,Wagenhausen,2010,54, 
4621,Warth-Weiningen,2010,37, 
4946,Weinfelden,2010,67, 
4951,Wigoltingen,2010,68, 
4786,Wilen,2010,46, 
4791,Wuppenau,2010,65, 
4701,W�ldi,2010,55, 
4781,W�ngi,2010,49, 
4511,Zihlschlacht-Sitterdorf,2010,55, 
4551,Aadorf,2011,51, 
4711,Affeltrangen,2011,46, 
4641,Altnau,2011,61, 
4881,Amlikon-Bissegg,2011,70, 
4461,Amriswil,2011,63, 
4401,Arbon,2011,76, 
4536,Basadingen-Schlattingen,2011,49, 
4891,Berg,2011,45, 
4801,Berlingen,2011,55, 
4716,Bettwiesen,2011,43, 
4721,Bichelsee-Balterswil,2011,44, 
4901,Birwinken,2011,68, 
4471,Bischofszell,2011,72, 
4643,Bottighofen,2011,39, 
4723,Braunau,2011,52, 
4921,Bussnang,2011,50, 
4911,B�rglen,2011,63, 
4545,Diessenhofen,2011,47, 
4406,Dozwil,2011,52, 
4411,Egnach,2011,60, 
4476,Erlen,2011,59, 
4646,Ermatingen,2011,40, 
4806,Eschenz,2011,60, 
4724,Eschlikon,2011,50, 
4561,Felben-Wellhausen,2011,58, 
4726,Fischingen,2011,75, 
4566,Frauenfeld,2011,63, 
4571,Gachnang,2011,42, 
4651,Gottlieben,2011,35, 
4656,G�ttingen,2011,60, 
4486,Hauptwil-Gottshaus,2011,69, 
4416,Hefenhofen,2011,69, 
4811,Herdern,2011,68, 
4495,Hohentannen,2011,69, 
4816,Homburg,2011,72, 
4421,Horn,2011,34, 
4590,H�ttlingen,2011,54, 
4821,H�ttwilen,2011,50, 
4666,Kemmental,2011,58, 
4426,Kesswil,2011,50, 
4501,Kradolf-Sch�nenberg,2011,60, 
4671,Kreuzlingen,2011,70, 
4681,Langrickenbach,2011,70, 
4683,Lengwil,2011,63, 
4741,Lommis,2011,49, 
4826,Mammern,2011,40, 
4591,Matzingen,2011,57, 
4941,M�rstetten,2011,63, 
4831,M�llheim,2011,60, 
4746,M�nchwilen,2011,57, 
4691,M�nsterlingen,2011,41, 
4601,Neunforn,2011,48, 
4841,Pfyn,2011,73, 
4846,Raperswilen,2011,75, 
4751,Rickenbach,2011,46, 
4431,Roggwil,2011,56, 
4436,Romanshorn,2011,74, 
4851,Salenstein,2011,44, 
4441,Salmsach,2011,71, 
4546,Schlatt,2011,55, 
4756,Sch�nholzerswilen,2011,60, 
4761,Sirnach,2011,47, 
4446,Sommeri,2011,64, 
4864,Steckborn,2011,69, 
4606,Stettfurt,2011,52, 
4506,Sulgen,2011,50, 
4611,Thundorf,2011,57, 
4776,Tobel-T�gerschen,2011,50, 
4696,T�gerwilen,2011,37, 
4616,Uesslingen-Buch,2011,60, 
4451,Uttwil,2011,52, 
4871,Wagenhausen,2011,54, 
4621,Warth-Weiningen,2011,35, 
4946,Weinfelden,2011,65, 
4951,Wigoltingen,2011,65, 
4786,Wilen,2011,46, 
4791,Wuppenau,2011,63, 
4701,W�ldi,2011,55, 
4781,W�ngi,2011,47, 
4511,Zihlschlacht-Sitterdorf,2011,55, 
4551,Aadorf,2012,51, 
4711,Affeltrangen,2012,46, 
4641,Altnau,2012,61, 
4881,Amlikon-Bissegg,2012,70, 
4461,Amriswil,2012,63, 
4401,Arbon,2012,76, 
4536,Basadingen-Schlattingen,2012,49, 
4891,Berg,2012,45, 
4801,Berlingen,2012,53, 
4716,Bettwiesen,2012,43, 
4721,Bichelsee-Balterswil,2012,44, 
4901,Birwinken,2012,65, 
4471,Bischofszell,2012,70, 
4643,Bottighofen,2012,39, 
4723,Braunau,2012,52, 
4921,Bussnang,2012,50, 
4911,B�rglen,2012,66, 
4545,Diessenhofen,2012,47, 
4406,Dozwil,2012,49, 
4411,Egnach,2012,60, 
4476,Erlen,2012,55, 
4646,Ermatingen,2012,40, 
4806,Eschenz,2012,60, 
4724,Eschlikon,2012,50, 
4561,Felben-Wellhausen,2012,58, 
4726,Fischingen,2012,70, 
4566,Frauenfeld,2012,60, 
4571,Gachnang,2012,42, 
4651,Gottlieben,2012,35, 
4656,G�ttingen,2012,60, 
4486,Hauptwil-Gottshaus,2012,69, 
4416,Hefenhofen,2012,66, 
4811,Herdern,2012,65, 
4495,Hohentannen,2012,69, 
4816,Homburg,2012,67, 
4421,Horn,2012,32, 
4590,H�ttlingen,2012,54, 
4821,H�ttwilen,2012,50, 
4666,Kemmental,2012,58, 
4426,Kesswil,2012,50, 
4501,Kradolf-Sch�nenberg,2012,59, 
4671,Kreuzlingen,2012,70, 
4681,Langrickenbach,2012,70, 
4683,Lengwil,2012,63, 
4741,Lommis,2012,49, 
4826,Mammern,2012,40, 
4591,Matzingen,2012,57, 
4941,M�rstetten,2012,63, 
4831,M�llheim,2012,60, 
4746,M�nchwilen,2012,57, 
4691,M�nsterlingen,2012,41, 
4601,Neunforn,2012,48, 
4841,Pfyn,2012,73, 
4846,Raperswilen,2012,75, 
4751,Rickenbach,2012,46, 
4431,Roggwil,2012,52, 
4436,Romanshorn,2012,74, 
4851,Salenstein,2012,44, 
4441,Salmsach,2012,71, 
4546,Schlatt,2012,52, 
4756,Sch�nholzerswilen,2012,50, 
4761,Sirnach,2012,46, 
4446,Sommeri,2012,61, 
4864,Steckborn,2012,69, 
4606,Stettfurt,2012,52, 
4506,Sulgen,2012,50, 
4611,Thundorf,2012,57, 
4776,Tobel-T�gerschen,2012,50, 
4696,T�gerwilen,2012,37, 
4616,Uesslingen-Buch,2012,60, 
4451,Uttwil,2012,52, 
4871,Wagenhausen,2012,54, 
4621,Warth-Weiningen,2012,35, 
4946,Weinfelden,2012,65, 
4951,Wigoltingen,2012,65, 
4786,Wilen,2012,46, 
4791,Wuppenau,2012,62, 
4701,W�ldi,2012,55, 
4781,W�ngi,2012,47, 
4511,Zihlschlacht-Sitterdorf,2012,55, 
4551,Aadorf,2013,55, 
4711,Affeltrangen,2013,46, 
4641,Altnau,2013,59, 
4881,Amlikon-Bissegg,2013,70, 
4461,Amriswil,2013,63, 
4401,Arbon,2013,76, 
4536,Basadingen-Schlattingen,2013,49, 
4891,Berg,2013,45, 
4801,Berlingen,2013,53, 
4716,Bettwiesen,2013,43, 
4721,Bichelsee-Balterswil,2013,44, 
4901,Birwinken,2013,65, 
4471,Bischofszell,2013,70, 
4643,Bottighofen,2013,39, 
4723,Braunau,2013,49, 
4921,Bussnang,2013,50, 
4911,B�rglen,2013,66, 
4545,Diessenhofen,2013,47, 
4406,Dozwil,2013,47, 
4411,Egnach,2013,57, 
4476,Erlen,2013,55, 
4646,Ermatingen,2013,40, 
4806,Eschenz,2013,60, 
4724,Eschlikon,2013,50, 
4561,Felben-Wellhausen,2013,58, 
4726,Fischingen,2013,70, 
4566,Frauenfeld,2013,60, 
4571,Gachnang,2013,42, 
4651,Gottlieben,2013,40, 
4656,G�ttingen,2013,60, 
4486,Hauptwil-Gottshaus,2013,69, 
4416,Hefenhofen,2013,66, 
4811,Herdern,2013,65, 
4495,Hohentannen,2013,64, 
4816,Homburg,2013,67, 
4421,Horn,2013,32, 
4590,H�ttlingen,2013,54, 
4821,H�ttwilen,2013,50, 
4666,Kemmental,2013,58, 
4426,Kesswil,2013,50, 
4501,Kradolf-Sch�nenberg,2013,59, 
4671,Kreuzlingen,2013,70, 
4681,Langrickenbach,2013,70, 
4683,Lengwil,2013,63, 
4741,Lommis,2013,49, 
4826,Mammern,2013,40, 
4591,Matzingen,2013,57, 
4941,M�rstetten,2013,59, 
4831,M�llheim,2013,55, 
4746,M�nchwilen,2013,57, 
4691,M�nsterlingen,2013,41, 
4601,Neunforn,2013,48, 
4841,Pfyn,2013,73, 
4846,Raperswilen,2013,75, 
4751,Rickenbach,2013,46, 
4431,Roggwil,2013,52, 
4436,Romanshorn,2013,74, 
4851,Salenstein,2013,44, 
4441,Salmsach,2013,71, 
4546,Schlatt,2013,50, 
4756,Sch�nholzerswilen,2013,50, 
4761,Sirnach,2013,46, 
4446,Sommeri,2013,61, 
4864,Steckborn,2013,69, 
4606,Stettfurt,2013,52, 
4506,Sulgen,2013,50, 
4611,Thundorf,2013,57, 
4776,Tobel-T�gerschen,2013,50, 
4696,T�gerwilen,2013,37, 
4616,Uesslingen-Buch,2013,60, 
4451,Uttwil,2013,50, 
4871,Wagenhausen,2013,54, 
4621,Warth-Weiningen,2013,35, 
4946,Weinfelden,2013,65, 
4951,Wigoltingen,2013,65, 
4786,Wilen,2013,46, 
4791,Wuppenau,2013,60, 
4701,W�ldi,2013,55, 
4781,W�ngi,2013,47, 
4511,Zihlschlacht-Sitterdorf,2013,55, 
4551,Aadorf,2014,55, 
4711,Affeltrangen,2014,46, 
4641,Altnau,2014,59, 
